East Asia & Pacific (IDA & IBRD countries),1.30425E+13
Europe & Central Asia (IDA & IBRD countries),3.41129E+12
Togo,4002723817
Thailand,3.95282E+11
Tajikistan,7853450374
Turkmenistan,37334232257
Latin America & the Caribbean (IDA & IBRD countries),4.97064E+12
Middle East & North Africa (IDA & IBRD countries),
Timor-Leste,1412377919
Tonga,
South Asia (IDA & IBRD),2.66609E+12
Sub-Saharan Africa (IDA & IBRD countries),1.57287E+12
Trinidad and Tobago,27805745961
Tunisia,43015089723
Turkey,7.18221E+11
Tuvalu,
Tanzania,44895392077
Uganda,26369242278
Ukraine,90615023324
Upper middle income,1.97329E+13
Uruguay,53442697568
United States,1.7947E+13
Uzbekistan,66732801393
St. Vincent and the Grenadines,751373263
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,1.93599E+11
Vanuatu,
West Bank and Gaza,12677400000
World,7.34336E+13
Samoa,761037916.4
"Yemen, Rep.",
South Africa,3.12798E+11
"Congo, Dem. Rep.",35237742278
Zambia,21201564248
Zimbabwe,13892940504
