"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Burundi","BDI","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","719.855907243899","747.799112729628","725.900375542682","726.50741132247","703.627935277092","712.927841865944","678.786135214171","684.007411531557","676.235981092789","695.657565983566","697.527466480266","708.345830669826","706.444748398618","722.131169011359","726.549355938454","740.076605281942","756.521970810759","762.838700006123","712.356156359676","686.432874393068","","",
"Belgium","BEL","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30780.9560363961","31342.0817815269","31687.4840706489","31563.8523276403","32719.5827076163","33350.1404670317","33853.8437229535","35060.3395377402","35677.4180579729","36822.0011653479","38152.2993498463","38062.2387759458","38509.8990610653","38714.3028192989","39734.787554935","40280.5212548929","41091.1184707553","42178.9521377547","42588.7066302443","40409.6008453938","42384.828949369","41664.6548645899","42044.4706799098","41601.5670450738","41582.6805300622","41727.2098271127","","","",
"Benin","BEN","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1431.72202284721","1449.180989842","1409.43903270975","1469.93346396958","1442.97610923816","1482.00109206689","1499.65928681289","1548.89519603828","1576.68992948828","1614.73676988483","1658.6873606204","1693.99059011456","1712.83666551492","1717.63891302516","1743.28992730307","1729.5985619249","1742.71601000277","1791.02375255568","1838.30991221159","1823.25918587554","1804.67242568451","1817.2824552829","1840.41024946855","1919.46337018828","1987.9188343458","1970.78241865637","2000.78049861225","2054.62361262512","",
"Burkina Faso","BFA","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","845.337650378197","897.129515635884","874.733704988813","878.677791774561","865.112737178552","892.778220343912","970.841286549685","1000.24363064687","1043.55119872014","1088.82847235526","1068.56520591968","1108.76435663766","1127.35644997991","1180.30447010611","1197.2523845894","1266.36395688365","1310.34587722582","1340.43974992677","1395.32634117942","1393.02700672597","1389.20509619584","1418.44509475589","1493.51117082097","1538.37538478551","1537.59801192473","1544.81391327923","1581.92599350325","1640.27950384087","",
"Bangladesh","BGD","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1319.6045626962","1333.99583243289","1378.48787859367","1415.52868178105","1445.34782902737","1485.39408943188","1512.73637135972","1550.09080464233","1596.95725340606","1641.09146640853","1697.51347847441","1746.6947149454","1796.17000041753","1848.85018137322","1921.05695408936","2018.39621858224","2149.97553493267","2289.86550099093","2425.5704328077","2525.08844259136","2641.36811879213","2774.40493847368","2933.44783174184","3061.70849354601","3169.80622612677","3333.88077430048","3509.416679343","3676.92337126399","",
"Bulgaria","BGR","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8518.03120319158","7743.26122934905","7940.21217134904","7880.25593901034","8035.46225864371","8209.78206506858","8247.84481958704","8281.4371058933","8963.66304547257","8293.22286342396","8641.68508933245","9372.41990899106","10326.7779060787","10901.1993698151","11642.917761557","12461.4376810478","13065.1160108737","13446.8570766005","14811.3841013396","14715.1904485335","14975.451040985","15183.622188827","15570.1923501376","15596.4006763803","16192.7993260405","16662.1983042944","17756.8684182774","18873.9744074725","",
"Bahrain","BHR","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44491.3900052853","43077.7614820755","41873.5209256067","42108.9599088189","42157.3463824316","42757.0492213482","42372.2261308423","42694.3452368619","41152.8814130685","37212.3279131719","37243.6733153483","35441.7178031287","36142.3578841213","37627.8471400548","36607.1698745465","42177.5545176417","41519.8711672512","","",
"Bahamas, The","BHS","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29456.150124748","27671.4908190129","26847.1991125866","26079.8488868534","26427.2593365886","31408.9783114302","34580.7162340978","28542.4738649645","29379.8603097088","31529.7244628124","32320.8838154022","32392.3594910102","32678.3744542599","31733.5245535846","31421.4788009805","31710.0269794391","31798.4386403366","31613.6498220143","30874.7653972287","28825.1423598494","28610.4242472599","28400.3983442635","29076.5833276191","28587.8747947061","27795.9555388342","27823.6055964233","26846.3230408489","27101.4892429316","",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9023.70766796394","9570.08051348611","10188.4763875586","9940.80995401323","9878.78271216499","9981.02140075314","10006.7466435588","10419.2902412842","10599.8655073811","11003.4631410333","11369.8850175343","11679.1557532195","",
"Belarus","BLR","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8383.85239234043","8279.18372684881","7468.26448262615","6885.17515629008","6078.73761790289","5457.66446482723","5635.13799372017","6286.80455858803","6846.52958638395","7122.87707295939","7569.77713628563","7964.77280169485","8433.54408824005","9114.74355822031","10225.7175092066","11271.1474660209","12419.6315516688","13472.6904503116","14830.0920197539","14772.0848743397","15988.3373328854","16815.0091661502","17065.4422653367","16971.1165607899","17420.2274079309","16515.5210108479","16131.0920302336","16610.6780446529","",
